"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2011","2012","2013","2014","2015"
"00000","United States","1","All industry total",15840664.0,16197007.0,16495369.0,16912038.0,17432170.0
"00000","United States","2","  Private industries",13697390.0,14037519.0,14302267.0,14715952.0,15232954.0
"00000","United States","3","    Agriculture, forestry, fishing and hunting",186395.0,179573.0,209388.0,211758.0,227217.0
"00000","United States","4","      Farms",157496.0,148939.0,179819.0,181612.0,195500.0
"00000","United States","5","      Forestry, fishing, and related activities",28936.0,30634.0,29604.0,30142.0,31896.0
"00000","United States","6","    Mining, quarrying, and oil and gas extraction",320758.0,358798.0,372927.0,413809.0,451834.0
"00000","United States","7","      Oil and gas extraction",181849.0,223767.0,236352.0,268415.0,364096.0
"00000","United States","8","      Mining (except oil and gas)",75094.0,66648.0,68356.0,67153.0,62241.0
"00000","United States","9","      Support activities for mining",65356.0,68383.0,68090.0,76710.0,51447.0
"00000","United States","10","    Utilities",275960.0,279651.0,276620.0,265954.0,266247.0
"00000","United States","11","    Construction",538665.0,553419.0,567171.0,577747.0,604173.0
"00000","United States","12","    Manufacturing",1939833.0,1927057.0,1986179.0,2020172.0,2048404.0
"00000","United States","13","      Durable goods manufacturing",1032939.0,1061711.0,1087861.0,1103893.0,1125180.0
"00000","United States","14","        Wood product manufacturing",25395.0,25751.0,26407.0,24159.0,26146.0
"00000","United States","15","        Nonmetallic mineral product manufacturing",40443.0,42571.0,45123.0,45720.0,46350.0
"00000","United States","16","        Primary metal manufacturing",56382.0,65509.0,69533.0,68017.0,76437.0
"00000","United States","17","        Fabricated metal product manufacturing",133366.0,137623.0,136812.0,139130.0,135184.0
"00000","United States","18","        Machinery manufacturing",150968.0,152490.0,151686.0,149924.0,135009.0
"00000","United States","19","        Computer and electronic product manufacturing",232050.0,240441.0,247847.0,260758.0,282105.0
"00000","United States","20","        Electrical equipment, appliance, and component manufacturing",50904.0,51991.0,57222.0,53490.0,61525.0
"00000","United States","21","        Motor vehicles, bodies and trailers, and parts manufacturing",110118.0,115313.0,120314.0,124761.0,123522.0
"00000","United States","22","        Other transportation equipment manufacturing",129184.0,126465.0,130114.0,133082.0,139086.0
"00000","United States","23","        Furniture and related product manufacturing",22904.0,22386.0,23938.0,25406.0,27211.0
"00000","United States","24","        Miscellaneous manufacturing",81803.0,81171.0,79127.0,80457.0,77369.0
"00000","United States","25","      Nondurable goods manufacturing",907731.0,865346.0,898376.0,916401.0,923194.0
"00000","United States","26","        Food and beverage and tobacco product manufacturing",226388.0,219258.0,224097.0,224220.0,234093.0
"00000","United States","27","        Textile mills and textile product mills",14722.0,15936.0,16909.0,17654.0,17218.0
"00000","United States","28","        Apparel, leather, and allied product manufacturing",10456.0,9996.0,10014.0,9572.0,8971.0
"00000","United States","29","        Paper manufacturing",53613.0,52980.0,53340.0,53664.0,54492.0
"00000","United States","30","        Printing and related support activities",38507.0,38345.0,39031.0,38649.0,37539.0
"00000","United States","31","        Petroleum and coal products manufacturing",174741.0,157974.0,175797.0,199392.0,201990.0
"00000","United States","32","        Chemical manufacturing",323474.0,303364.0,312975.0,311725.0,301283.0
"00000","United States","33","        Plastics and rubber products manufacturing",66238.0,67493.0,67248.0,66981.0,73636.0
"00000","United States","34","    Wholesale trade",965378.0,997353.0,1020222.0,1059199.0,1104798.0
"00000","United States","35","    Retail trade",901847.0,908415.0,936685.0,953881.0,989609.0
"00000","United States","36","    Transportation and warehousing",469039.0,471965.0,478832.0,493633.0,507164.0
"00000","United States","37","      Air transportation",92491.0,87826.0,92230.0,95946.0,101557.0
"00000","United States","38","      Rail transportation",38490.0,39593.0,38896.0,40473.0,40972.0
"00000","United States","39","      Water transportation",12977.0,13117.0,16515.0,15294.0,12972.0
"00000","United States","40","      Truck transportation",126997.0,128021.0,127664.0,132069.0,131004.0
"00000","United States","41","      Transit and ground passenger transportation",34530.0,36313.0,36439.0,38917.0,38784.0
"00000","United States","42","      Pipeline transportation",22035.0,25225.0,24926.0,27500.0,33646.0
"00000","United States","43","      Other transportation and support activities",98722.0,94741.0,92586.0,91598.0,93723.0
"00000","United States","44","      Warehousing and storage",43148.0,47129.0,49779.0,52103.0,55054.0
"00000","United States","45","    Information",761039.0,758952.0,827979.0,848622.0,937609.0
"00000","United States","46","      Publishing industries (except Internet)",195647.0,201355.0,207672.0,213718.0,223134.0
"00000","United States","47","      Motion picture and sound recording industries",86649.0,82436.0,84339.0,84576.0,91323.0
"00000","United States","48","      Broadcasting (except Internet) and telecommunications",364827.0,370375.0,403531.0,398231.0,449628.0
"00000","United States","49","      Data processing, hosting, and other information services",113936.0,104786.0,132573.0,152401.0,174378.0
"00000","United States","50","    Finance, insurance, real estate, rental, and leasing",3127362.0,3260964.0,3231583.0,3327912.0,3414947.0
"00000","United States","51","      Finance and insurance",1075316.0,1162805.0,1093769.0,1150921.0,1189852.0
"00000","United States","52","        Monetary Authorities- central bank, credit intermediation, and related services",483256.0,511382.0,469546.0,478863.0,472798.0
"00000","United States","53","        Securities, commodity contracts, and other financial investments and related activities",184187.0,233027.0,228674.0,183553.0,180454.0
"00000","United States","54","        Insurance carriers and related activities",390094.0,405457.0,379731.0,470922.0,530249.0
"00000","United States","55","        Funds, trusts, and other financial vehicles",18643.0,12938.0,16366.0,31850.0,22251.0
"00000","United States","56","      Real estate and rental and leasing",2051475.0,2098159.0,2138591.0,2176609.0,2224070.0
"00000","United States","57","        Real estate",1886942.0,1925431.0,1957855.0,1988123.0,2016658.0
"00000","United States","58","        Rental and leasing services and lessors of nonfinancial intangible assets",164525.0,172728.0,180756.0,188597.0,208452.0
"00000","United States","59","    Professional and business services",1879431.0,1964658.0,1990061.0,2080730.0,2151674.0
"00000","United States","60","      Professional, scientific, and technical services",1139434.0,1188532.0,1191800.0,1243288.0,1298174.0
"00000","United States","61","        Legal services",223896.0,216697.0,209496.0,207041.0,210866.0
"00000","United States","62","        Computer systems design and related services",221085.0,252274.0,257325.0,272002.0,295410.0
"00000","United States","63","        Miscellaneous professional, scientific, and technical services",694959.0,719561.0,725145.0,765124.0,793870.0
"00000","United States","64","      Management of companies and enterprises",280748.0,302195.0,317148.0,338274.0,347029.0
"00000","United States","65","      Administrative and support and waste management and remediation services",459263.0,473931.0,481158.0,499376.0,506798.0
"00000","United States","66","        Administrative and support services",416038.0,431230.0,439057.0,455987.0,462934.0
"00000","United States","67","        Waste management and remediation services",43233.0,42701.0,42107.0,43402.0,43881.0
"00000","United States","68","    Educational services, health care, and social assistance",1384368.0,1407364.0,1425505.0,1450964.0,1505753.0
"00000","United States","69","      Educational services",213408.0,213883.0,210504.0,212786.0,214587.0
"00000","United States","70","      Health care and social assistance",1170972.0,1193481.0,1215059.0,1238284.0,1291561.0
"00000","United States","71","        Ambulatory health care services",562816.0,573535.0,591309.0,605756.0,640966.0
"00000","United States","72","        Hospitals",392291.0,398067.0,397856.0,402223.0,417118.0
"00000","United States","73","        Nursing and residential care facilities",125194.0,125928.0,127903.0,130386.0,131698.0
"00000","United States","74","        Social assistance",90676.0,95951.0,98043.0,100032.0,102243.0
"00000","United States","75","    Arts, entertainment, recreation, accommodation, and food services",606821.0,621361.0,634584.0,657680.0,678184.0
"00000","United States","76","      Arts, entertainment, and recreation",163464.0,171233.0,174651.0,182526.0,179349.0
"00000","United States","77","        Performing arts, spectator sports, museums, and related activities",94904.0,101345.0,102601.0,108260.0,104386.0
"00000","United States","78","        Amusement, gambling, and recreation industries",68580.0,69889.0,72051.0,74264.0,74971.0
"00000","United States","79","      Accommodation and food services",443389.0,450127.0,459931.0,475177.0,498642.0
"00000","United States","80","        Accommodation",127054.0,128605.0,133050.0,134584.0,143425.0
"00000","United States","81","        Food services and drinking places",316333.0,321522.0,326885.0,340601.0,355230.0
"00000","United States","82","    Other services (except government and government enterprises)",342799.0,347991.0,345405.0,355358.0,357526.0
"00000","United States","83","  Government and government enterprises",2175620.0,2159489.0,2144308.0,2139384.0,2142084.0
"00000","United States","84","    Federal civilian",394244.7,391420.0,382477.6,388383.6,398751.4
"00000","United States","85","    Military",323203.1,322468.0,314803.1,304589.2,295220.2
"00000","United States","86","    State and local",1458180.0,1445603.0,1446846.0,1446138.0,1447829.0
"00000","United States","","Addenda:","","","","",""
"00000","United States","87","Natural resources and mining",505776.8,538370.0,582280.2,625875.2,685439.9
"00000","United States","88","Trade",1867211.5,1905766.0,1956902.0,2013120.8,2094468.9
"00000","United States","89","Transportation and utilities",744956.2,751619.0,755437.9,759154.5,772826.2
"00000","United States","90","Manufacturing and information",2700942.7,2686002.0,2814181.7,2869080.5,2983905.0
"00000","United States","91","Private goods-producing industries 2/",2983133.0,3018846.0,3135917.0,3224067.0,3326980.0
"00000","United States","92","Private services-providing industries 3/",10714227.0,11018673.0,11166544.0,11492035.0,11905456.0
"01000","Alabama","1","All industry total",185666.9,186553.9,188814.2,187568.0,189428.8
"01000","Alabama","2","  Private industries",153102.4,154601.2,157581.5,156382.8,158331.1
"01000","Alabama","3","    Agriculture, forestry, fishing and hunting",1632.6,1802.2,3018.8,2630.9,3261.2
"01000","Alabama","4","      Farms",1098.9,1260.6,2512.3,2097.3,2743.2
"01000","Alabama","5","      Forestry, fishing, and related activities",533.1,541.5,510.4,528.8,546.0
"01000","Alabama","6","    Mining, quarrying, and oil and gas extraction",2786.5,2891.8,2897.2,2710.2,2649.1
"01000","Alabama","7","      Oil and gas extraction",689.0,688.8,654.3,613.2,737.6
"01000","Alabama","8","      Mining (except oil and gas)",1986.7,2088.3,2131.9,1978.1,1852.3
"01000","Alabama","9","      Support activities for mining",108.5,114.8,114.3,119.8,89.4
"01000","Alabama","10","    Utilities",5587.3,5688.9,5487.0,5226.1,5334.2
"01000","Alabama","11","    Construction",6794.7,6878.6,6481.5,6055.7,5896.9
"01000","Alabama","12","    Manufacturing",32158.2,31920.9,33704.1,32684.2,32258.8
"01000","Alabama","13","      Durable goods manufacturing",17910.5,19242.7,20404.0,19738.9,20468.8
"01000","Alabama","14","        Wood product manufacturing",1069.0,907.2,1067.6,908.5,1020.4
"01000","Alabama","15","        Nonmetallic mineral product manufacturing",717.4,623.6,747.2,750.8,772.1
"01000","Alabama","16","        Primary metal manufacturing",3239.4,4404.6,4268.7,4294.0,4505.7
"01000","Alabama","17","        Fabricated metal product manufacturing",1996.9,2185.0,2249.1,2164.9,2173.2
"01000","Alabama","18","        Machinery manufacturing",1190.5,1194.3,1132.2,957.3,915.0
"01000","Alabama","19","        Computer and electronic product manufacturing",1287.6,1128.5,968.1,1322.8,1191.2
"01000","Alabama","20","        Electrical equipment, appliance, and component manufacturing",568.9,607.6,729.7,664.7,738.3
"01000","Alabama","21","        Motor vehicles, bodies and trailers, and parts manufacturing",4328.4,4673.8,5330.1,5001.0,4934.3
"01000","Alabama","22","        Other transportation equipment manufacturing",2508.2,2429.3,2763.0,2518.5,2969.2
"01000","Alabama","23","        Furniture and related product manufacturing",612.0,557.7,652.1,693.6,781.9
"01000","Alabama","24","        Miscellaneous manufacturing",450.8,531.1,461.8,497.3,501.8
"01000","Alabama","25","      Nondurable goods manufacturing",14281.5,12678.2,13299.7,12946.5,11762.1
"01000","Alabama","26","        Food and beverage and tobacco product manufacturing",2011.5,2010.5,2187.9,2128.9,2083.7
"01000","Alabama","27","        Textile mills and textile product mills",448.9,586.3,706.4,685.7,528.7
"01000","Alabama","28","        Apparel, leather, and allied product manufacturing",233.6,250.2,240.3,185.5,169.2
"01000","Alabama","29","        Paper manufacturing",2557.3,2792.6,2574.0,2737.1,2535.4
"01000","Alabama","30","        Printing and related support activities",154.8,185.6,225.8,248.1,249.2
"01000","Alabama","31","        Petroleum and coal products manufacturing",4255.3,2596.0,2847.2,1966.1,1644.9
"01000","Alabama","32","        Chemical manufacturing",3419.9,3045.3,3200.2,3504.4,2789.1
"01000","Alabama","33","        Plastics and rubber products manufacturing",1254.5,1211.7,1335.9,1338.4,1592.9
"01000","Alabama","34","    Wholesale trade",10628.4,10540.6,10857.5,10998.3,11168.7
"01000","Alabama","35","    Retail trade",12557.3,12550.3,12671.7,12660.1,12948.5
"01000","Alabama","36","    Transportation and warehousing",4959.2,4798.6,4711.6,4732.8,4683.0
"01000","Alabama","37","      Air transportation",188.6,150.5,116.6,127.1,156.6
"01000","Alabama","38","      Rail transportation",662.1,692.5,673.2,683.6,702.6
"01000","Alabama","39","      Water transportation",320.3,264.3,231.4,190.3,139.8
"01000","Alabama","40","      Truck transportation",1992.8,1918.0,1878.4,1935.5,1931.1
"01000","Alabama","41","      Transit and ground passenger transportation",113.3,109.7,97.1,102.3,95.5
"01000","Alabama","42","      Pipeline transportation",219.8,197.4,184.2,113.1,115.8
"01000","Alabama","43","      Other transportation and support activities",971.7,863.9,867.7,862.8,859.4
"01000","Alabama","44","      Warehousing and storage",494.0,602.2,665.5,729.2,689.7
"01000","Alabama","45","    Information",4474.8,4249.1,4375.7,4288.8,4616.2
"01000","Alabama","46","      Publishing industries (except Internet)",1021.9,998.5,970.3,897.4,890.0
"01000","Alabama","47","      Motion picture and sound recording industries",97.3,93.9,87.6,109.3,124.1
