"SAGDP2N Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010","2011","2012","2013","2014"
"00000","United States *","1","All industry total",14992052.0,15542582.0,16197007.0,16784851.0,17527258.0
"00000","United States *","2","  Private industries",12884089.0,13405520.0,14037519.0,14572341.0,15255889.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",146299.0,180945.0,179573.0,215601.0,201003.0
"00000","United States *","4","      Farms",117629.0,152249.0,148939.0,184621.0,168147.0
"00000","United States *","5","      Forestry, fishing, and related activities",28670.0,28696.0,30634.0,30980.0,32856.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",305838.0,356315.0,358798.0,386519.0,416375.0
"00000","United States *","7","      Oil and gas extraction",188823.0,218094.0,223767.0,255104.0,278272.0
"00000","United States *","8","      Mining (except oil and gas)",69497.0,76367.0,66648.0,62141.0,58750.0
"00000","United States *","9","      Support activities for mining",47519.0,61855.0,68383.0,69274.0,79354.0
"00000","United States *","10","    Utilities",278837.0,287459.0,279651.0,286340.0,298076.0
"00000","United States *","11","    Construction",525126.0,524431.0,553419.0,587553.0,636899.0
"00000","United States *","12","    Manufacturing",1797010.0,1867566.0,1927057.0,1991904.0,2050232.0
"00000","United States *","13","      Durable goods manufacturing",964324.0,1015190.0,1061711.0,1101963.0,1134092.0
"00000","United States *","14","        Wood product manufacturing",23303.0,23640.0,25751.0,30475.0,30948.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",38355.0,38838.0,42571.0,47110.0,49527.0
"00000","United States *","16","        Primary metal manufacturing",50878.0,62455.0,65509.0,62310.0,64063.0
"00000","United States *","17","        Fabricated metal product manufacturing",119889.0,127180.0,137623.0,141631.0,143935.0
"00000","United States *","18","        Machinery manufacturing",127197.0,144476.0,152490.0,158168.0,160900.0
"00000","United States *","19","        Computer and electronic product manufacturing",239821.0,237135.0,240441.0,244044.0,251196.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",50708.0,48194.0,51991.0,57968.0,54365.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",88696.0,104195.0,115313.0,122762.0,132539.0
"00000","United States *","22","        Other transportation equipment manufacturing",120597.0,126822.0,126465.0,133082.0,139142.0
"00000","United States *","23","        Furniture and related product manufacturing",21835.0,21954.0,22386.0,24009.0,25737.0
"00000","United States *","24","        Miscellaneous manufacturing",83045.0,80301.0,81171.0,80404.0,81741.0
"00000","United States *","25","      Nondurable goods manufacturing",832686.0,852375.0,865346.0,889941.0,916140.0
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",223168.0,209184.0,219258.0,227880.0,238504.0
"00000","United States *","27","        Textile mills and textile product mills",15546.0,15050.0,15936.0,16745.0,17824.0
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",10386.0,10122.0,9996.0,10213.0,9913.0
"00000","United States *","29","        Paper manufacturing",56306.0,53694.0,52980.0,56316.0,56728.0
"00000","United States *","30","        Printing and related support activities",39419.0,38707.0,38345.0,38938.0,39031.0
"00000","United States *","31","        Petroleum and coal products manufacturing",123448.0,158092.0,157974.0,150553.0,157693.0
"00000","United States *","32","        Chemical manufacturing",302645.0,304617.0,303364.0,320314.0,329325.0
"00000","United States *","33","        Plastics and rubber products manufacturing",61768.0,62909.0,67493.0,68982.0,67122.0
"00000","United States *","34","    Wholesale trade",888905.0,934907.0,997353.0,1040067.0,1088175.0
"00000","United States *","35","    Retail trade",851508.0,871932.0,908415.0,949451.0,974513.0
"00000","United States *","36","    Transportation and warehousing",433036.0,451444.0,471965.0,491099.0,521839.0
"00000","United States *","37","      Air transportation",84177.0,84645.0,87826.0,94081.0,102880.0
