"SAGDP2N Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2005","2006","2007","2008","2009"
"00000","United States *","1","All industry total",13036637.0,13814609.0,14451860.0,14712845.0,14448932.0
"00000","United States *","2","  Private industries",11326369.0,12022614.0,12564794.0,12731237.0,12403880.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",128347.0,125130.0,144062.0,147244.0,129968.0
"00000","United States *","4","      Farms",104459.0,96264.0,115665.0,119476.0,103102.0
"00000","United States *","5","      Forestry, fishing, and related activities",23888.0,28866.0,28397.0,27768.0,26866.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",225677.0,273322.0,313963.0,392175.0,275841.0
"00000","United States *","7","      Oil and gas extraction",156002.0,178895.0,205883.0,271527.0,172889.0
"00000","United States *","8","      Mining (except oil and gas)",42878.0,51813.0,57968.0,61277.0,61570.0
"00000","United States *","9","      Support activities for mining",26797.0,42613.0,50112.0,59371.0,41382.0
"00000","United States *","10","    Utilities",198143.0,226848.0,231907.0,241686.0,258241.0
"00000","United States *","11","    Construction",651816.0,697083.0,715327.0,648879.0,565647.0
"00000","United States *","12","    Manufacturing",1693441.0,1793844.0,1844745.0,1800844.0,1702135.0
"00000","United States *","13","      Durable goods manufacturing",956799.0,1004410.0,1030624.0,999726.0,880961.0
"00000","United States *","14","        Wood product manufacturing",34725.0,31682.0,29079.0,25622.0,21216.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",48842.0,50504.0,50247.0,44745.0,38866.0
"00000","United States *","16","        Primary metal manufacturing",56260.0,62690.0,64535.0,68818.0,41141.0
"00000","United States *","17","        Fabricated metal product manufacturing",122370.0,126792.0,134794.0,133116.0,117352.0
"00000","United States *","18","        Machinery manufacturing",114408.0,121896.0,129534.0,131637.0,118603.0
"00000","United States *","19","        Computer and electronic product manufacturing",211257.0,224098.0,228324.0,232093.0,223701.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",43230.0,51433.0,50275.0,55474.0,50673.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",135999.0,134063.0,124937.0,90325.0,47801.0
"00000","United States *","22","        Other transportation equipment manufacturing",89746.0,96266.0,114200.0,114519.0,117439.0
"00000","United States *","23","        Furniture and related product manufacturing",33701.0,34533.0,32503.0,27849.0,22819.0
